data_solicitacao;ano_sol;caso_sirsaelp;unidade;superintendencia;diretoria;competencia;tipopericia;perito
2025-07-30 14:47:00;2025;2025.12.3056;Rio do Sul;Blumenau;Médico Legal;Traumatologia Forense;Lesão Corporal;ENIO
2025-07-30 14:51:00;2025;2025.4.5241;Florianópolis;Florianópolis;Análises Forenses;Química Forense;Pesquisa de Drogas Psicoativas;ODILON
2025-07-30 14:51:00;2025;2019.19.3217;Araranguá;Criciúma;Médico Legal;Traumatologia Forense;Parecer médico-legal;RAFAEL
2025-07-30 14:52:00;2025;2025.8.6755;Balneário Camboriú;Balneário Camboriú;Criminalística;Informática Forense;Local de Crime de Informática;FLÁVIO
2025-07-30 14:57:00;2025;2025.17.2380;Criciúma;Criciúma;Criminalística;Informática Forense;Exame em Equipamento Computacional Portátil;MATEUS
2025-07-30 15:07:00;2025;2025.14.4674;Criciúma;Criciúma;Criminalística;Informática Forense;Exame em Equipamento Computacional Portátil;FILIPE
2025-07-30 15:12:00;2025;2025.9.3327;Florianópolis;Florianópolis;Análises Forenses;Química Forense;Pesquisa Avançada de Drogas Psicoativas;VICTOR
2025-07-30 15:13:00;2025;2025.4.5232;Florianópolis;Florianópolis;Análises Forenses;Toxicologia Forense;Análise Toxicológica;BRUNA
2025-07-30 15:33:00;2025;2025.9.3328;Lages;Lages;Criminalística;Local de crime contra o patrimônio;Exame de Dano;ARTUR
2025-07-30 16:35:00;2025;2025.2.6882;Florianópolis;Florianópolis;Criminalística;Perícias papiloscópicas;Pesquisa e Confronto Papiloscópico ;LEONARDO
2025-07-30 16:36:00;2025;2025.33.3023;Palhoça;Palhoça;Criminalística;Informática Forense;Exame em Equipamento Computacional Portátil;CESAR
2025-07-30 16:36:00;2025;2025.33.3023;Palhoça;Palhoça;Criminalística;Informática Forense;Exame em Equipamento Computacional Portátil;CESAR
2025-07-30 16:36:00;2025;2025.8.11399;Balneário Camboriú;Balneário Camboriú;Criminalística;Identificação de veículos;Identificação Veicular;ISLAS
2025-07-30 16:37:00;2025;2025.33.3023;Palhoça;Palhoça;Criminalística;Informática Forense;Exame em Equipamento Computacional Portátil;CESAR
2025-07-30 16:37:00;2025;2025.19.5125;Criciúma;Criciúma;Criminalística;Engenharia Forense;Local de Furto de Energia Elétrica;JONES
2025-07-30 16:37:00;2025;2025.33.3023;Palhoça;Palhoça;Criminalística;Informática Forense;Exame em Equipamento Computacional Portátil;CESAR
2025-07-30 16:37:00;2025;2025.33.3023;Palhoça;Palhoça;Criminalística;Informática Forense;Exame em Equipamento Computacional Portátil;CESAR
2025-07-30 16:38:00;2025;2025.33.3023;Palhoça;Palhoça;Criminalística;Informática Forense;Exame em Mídia de Armazenamento Computacional;CESAR
2025-07-30 16:45:00;2025;2025.8.11309;Balneário Camboriú;Balneário Camboriú;Criminalística;Informática Forense;Exame em Equipamento Computacional Portátil;RAFAEL
2025-07-30 16:56:00;2025;2025.12.3062;Rio do Sul;Blumenau;Criminalística;Engenharia Forense;Local de Incêndio;CAROLINE
2025-07-30 16:59:00;2025;2025.9.3333;Lages;Lages;Análises Forenses;Química Forense;Pesquisa de Drogas Psicoativas;VICTOR
2025-07-30 17:01:00;2025;2025.8.11066;Balneário Camboriú;Balneário Camboriú;Criminalística;Informática Forense;Exame em Equipamento Computacional Portátil;RAFAEL
2025-07-30 17:02:00;2025;2025.14.4669;Criciúma;Criciúma;Criminalística;Informática Forense;Exame em Equipamento Computacional Portátil;FILIPE
2025-07-30 17:06:00;2025;2025.9.3334;Lages;Lages;Análises Forenses;Química Forense;Pesquisa de Drogas Psicoativas;VICTOR
2025-07-30 17:09:00;2025;2025.8.11349;Florianópolis;Florianópolis;Análises Forenses;Química Forense;Pesquisa Avançada de Drogas Psicoativas;RUBENS
2025-07-30 17:11:00;2025;2025.29.419;São Lourenço do Oeste;Chapecó;Criminalística;Local de crime contra o patrimônio;Exame de Dano;BRUNA
2025-07-30 17:13:00;2025;2025.7.1895;Brusque;Balneário Camboriú;Criminalística;Identificação de veículos;Identificação Veicular;GUILHERME
2025-07-30 17:23:00;2025;2025.4.3616;Jaraguá do Sul;Joinville;Criminalística;Local de crime contra o patrimônio;Exame de Dano;SILVIO
2025-07-30 17:38:00;2025;2025.1.8432;Joinville;Joinville;Criminalística;Informática Forense;Exame em Equipamento Computacional Portátil;LEONARDO
2025-07-30 17:43:00;2025;2025.9.3325;Lages;Lages;Médico Legal;Tanatologia Forense;Necrópsia;GUSTAVO
2025-07-30 17:53:00;2025;2025.28.1604;Chapecó;Chapecó;Análises Forenses;Química Forense;Pesquisa de Drogas Psicoativas;-
2025-07-30 18:05:00;2025;2025.4.4913;Florianópolis;Florianópolis;Análises Forenses;Química Forense;Pesquisa Avançada de Drogas Psicoativas;CLÓVIS
2025-07-30 18:07:00;2025;2025.1.8406;Florianópolis;Florianópolis;Análises Forenses;Toxicologia Forense;Análise Toxicológica;BRUNA
2025-07-30 18:51:00;2025;2025.4.3075;Florianópolis;Florianópolis;Análises Forenses;Química Forense;Análise de Substâncias de Interesse Forense;IURY
2025-07-30 18:52:00;2025;2023.8.12838;Balneário Camboriú;Balneário Camboriú;Criminalística;Documentoscopia;Exame Grafoscópico de Autoria Gráfica;DANIELLE
2025-07-30 19:00:00;2025;2025.14.4684;Florianópolis;Florianópolis;Análises Forenses;Toxicologia Forense;Análise Toxicológica;BRUNA
2025-07-30 20:59:00;2025;2025.4.5242;Florianópolis;Florianópolis;Análises Forenses;Química Forense;Pesquisa de Drogas Psicoativas;IURY
2025-07-31 08:04:00;2025;2025.33.3596;Florianópolis;Florianópolis;Criminalística;Balística;Exame em Arma,  Munição e/ou Objeto;MAITÊ
2025-07-31 08:11:00;2025;2025.2.8714;Florianópolis;Florianópolis;Médico Legal;Psiquiatria Forense;Perícia Psiquiátrica;RAFAEL
2025-07-31 08:13:00;2025;2025.2.8715;Florianópolis;Florianópolis;Médico Legal;Psiquiatria Forense;Perícia Psiquiátrica;RAFAEL
2025-07-31 09:29:00;2025;2025.33.431;Palhoça;Palhoça;Criminalística;Informática Forense;Exame em Equipamento Computacional Portátil;CESAR
2025-07-31 09:35:00;2025;2025.1.8453;Florianópolis;Florianópolis;Análises Forenses;Toxicologia Forense;Análise Toxicológica;BRUNA
2025-07-31 09:47:00;2025;2025.2.8717;Florianópolis;Florianópolis;Médico Legal;Psiquiatria Forense;Perícia Psiquiátrica;RAFAEL
2025-07-31 09:54:00;2025;2025.15.1145;Lages;Lages;Criminalística;Informática Forense;Exame em Equipamento Computacional Portátil;ARTUR
2025-07-31 09:58:00;2025;2025.2.8718;Florianópolis;Florianópolis;Médico Legal;Psiquiatria Forense;Perícia Psiquiátrica;RAFAEL
2025-07-31 10:03:00;2025;2025.1.8457;Joinville;Joinville;Médico Legal;Traumatologia Forense;Lesão Corporal;FERNANDA
